ANO;AGREGACAO;CODIGO;NOME;IDHM;IDHM_L;IDHM_E;IDHM_R;I_ESCOLARIDADE;I_FREQ_PROP;IDHMAD;IDHMAD_L;IDHMAD_E;IDHMAD_R;ATK_ESPVIDA;ATK_ANOSEST;ATK_RDPC;IDHMAD_PERDA;IDHMAD_L_PERDA;IDHMAD_E_PERDA;IDHMAD_R_PERDA;IDHMAD_COEF;ESPVIDA;MORT1;T_ENV;RAZDEP;T_FREQ5A6;T_FUND11A13;T_FUND15A17;T_MED18A20;T_FUND18M;ANOSEST;T_ANALF15M;T_ANALF18M;T_ANALF25M;T_FREQ6A14;T_FREQ15A17;T_FREQ18A24;T_FUND18A24;T_FUND25M;T_MED25M;T_SUPER25M;T_ATRASO_2_BASICO;T_ATRASO_2_FUND;T_FLBAS;T_FLFUND;T_FLMED;T_FLSUPER;RDPC;RDPCT;RENOCUP;PRENTRAB;RDPC1;RDPC2;RDPC3;RDPC4;RDPC5;RDPC10;R1040;R2040;GINI;THEIL;PIND;PMPOB;PPOB;RIND;RMPOB;RPOB;POPTOT;POP;POPT;POP5A6;POP6A14;POP6A17;POP11A13;POP15A17;POP15M;POP18A20;POP18A24;POP18M;POP25M;POP65M;POPOCUP18M
2012;UF;11;Rond nia;694;758;637;692;573;672;53;661;496;453;128;222;345;237;128;222;345;232;705;2193;47;4768;8656;7516;6036;4678;5727;776;793;859;1041;9667;815;3038;809;5142;3446;846;1956;1582;8182;8422;4108;1446;59378;60008;115267;8103;11765;25012;39622;62074;158863;222509;121;864;487;416;412;1232;3085;3371;8642;15433;1628074;1627700;1610629;63480;278270;376608;97777;98337;1178946;95589;214469;1080609;866139;76506;671531
2012;UF;12;Acre;701;791;649;67;59;681;502;698;467;387;118;281;422;284;118;281;422;274;7247;2021;435;5971;8255;7836;6046;5104;5904;772;1348;1472;1822;9714;8287;2895;7711;5395;3807;1074;2033;1804;8571;883;469;1334;51675;52474;11875;798;6806;17203;28353;49393;157244;226502;1887;131;566;585;1004;2377;4682;3619;782;1369;777461;776990;765148;35903;159815;213475;56740;53660;520588;45038;102639;466927;364288;33783;268210
2012;UF;13;Amazonas;691;764;632;683;613;642;512;668;504;398;126;202;417;259;126;202;417;248;7085;2088;479;5799;8738;808;5145;3706;6127;863;722;789;946;9675;8212;3602;7449;5768;4445;886;22;1788;9175;9418;443;1377;55944;56763;124898;7972;7852;17797;29123;4855;176145;27321;213;1374;589;619;789;2223;449;4014;8439;14052;3540643;3537272;3486238;149691;718386;950932;236394;232546;2410643;205482;465298;2178096;1712798;169573;1253397
2012;UF;14;Roraima;738;752;746;717;719;76;558;667;604;432;113;191;397;244;113;191;397;234;701;1808;355;5634;9516;8884;6649;5331;7188;959;64;707;891;9929;8541;3183;8744;6734;5407;1402;1983;1635;936;9615;5608;1977;69106;70125;148288;8473;11055;23694;39102;65274;207141;300394;1729;1192;549;528;48;1302;3259;3499;8559;15156;426804;426516;420324;16157;82889;110266;28917;27376;288156;27356;58906;260779;201872;15164;167191
2012;UF;15;Par ;666;771;583;658;537;608;501;679;456;405;119;217;385;249;119;217;385;24;7123;1904;498;5555;8941;7452;4643;3286;5373;76;1021;1108;1339;9731;8624;3117;7017;4929;3402;646;324;2821;9182;9454;3999;828;4788;48215;99948;7874;7921;17703;28444;47273;137907;200776;1567;1076;533;51;769;2174;4502;4279;8388;14044;7920522;7910095;7855187;331471;1489590;1977069;509583;487479;5485957;474872;1064310;4998478;3934167;394057;2959605
2012;UF;16;Amap ;707;796;659;673;67;653;542;687;538;43;137;184;361;234;137;184;361;227;7277;2433;321;5858;7915;7707;6045;4441;6697;909;576;637;793;9646;8666;339;8331;619;4892;1166;293;2672;9208;9318;5171;1448;52823;53143;120935;8518;9775;19393;29888;50988;154415;214262;1469;1059;528;483;342;1837;4272;4365;9492;15328;721361;720702;716366;31839;149962;198304;55352;48341;478057;44056;101952;429715;327763;23171;266839
2012;UF;17;Tocantins;71;785;676;674;581;729;536;694;512;433;116;242;357;245;116;242;357;238;7211;1817;556;5398;9191;887;6424;4655;5812;798;1114;1208;1461;9757;8456;312;7987;5264;3893;1047;1473;1033;9143;9347;5201;1457;52931;53305;10914;8134;10673;21259;32523;52144;148052;212146;1329;927;507;45;421;1519;3851;3455;9254;15539;1437474;1435656;1425583;51916;265929;355358;94074;89429;1013458;83790;185919;924029;738110;79929;560245
2012;UF;21;Maranh o;648;739;611;602;508;67;469;631;429;38;146;298;368;276;146;298;368;271;6934;2633;646;5881;9497;8066;5447;3787;5084;666;187;2035;2478;9814;8316;2562;7454;4457;2989;503;242;1984;9213;9454;4518;808;33842;34284;71812;6962;5354;1407;22947;36346;90609;125579;1293;933;498;452;1358;2965;5508;3975;7482;12969;6765940;6763728;6676468;280173;1307256;1729871;445943;422614;4697907;377862;894560;4275292;3380732;437399;2198223
2012;UF;22;Piau ;66;753;6;635;475;674;484;658;419;41;126;302;354;267;126;302;354;261;7019;22;809;497;9644;8029;5516;3773;4753;654;194;2106;2497;9899;8821;3261;7359;4196;2828;696;2714;2205;9439;9702;4915;1247;41517;4166;74885;6792;7371;17304;27878;43379;111665;158038;1281;905;495;447;894;236;4547;4562;8248;13709;3212635;3207098;3196070;111271;522688;731618;185484;208930;2405808;160944;386695;2196877;1810182;259746;1196276
2012;UF;23;Cear ;701;796;667;648;54;742;508;708;48;385;111;28;406;276;111;28;406;266;7278;1768;743;497;9796;8855;6324;4685;5399;719;162;1746;2095;9812;8305;2528;7935;4784;3271;765;1732;1344;9268;9507;5336;1212;45145;4547;86883;6927;6971;16416;26416;43218;132602;197079;1685;1134;545;54;972;2438;4852;4156;8086;13711;8734806;8715501;8653068;299115;1400633;1927881;512363;527247;6483948;504078;1163626;5956701;4793074;649258;3112441
2012;UF;24;Rio Grande do Norte;695;827;617;658;519;673;53;739;47;428;106;239;349;238;106;239;349;231;7459;1821;734;479;9606;8356;5044;3897;5189;744;1525;1619;1925;9766;8336;2851;7124;4722;3373;739;2459;1849;9249;9529;4412;1128;47888;48136;9109;6997;8987;19767;30565;47334;133207;194866;1355;927;508;466;709;178;4019;423;8313;14454;3302720;3299449;3282444;104712;506013;687287;179728;181274;2475614;178935;446312;2294339;1848027;242462;1206815
2012;UF;25;Para ba;673;78;601;649;47;679;492;686;427;406;12;289;375;269;12;289;375;261;718;2034;814;503;9565;8121;545;4013;4702;672;1799;1937;2275;985;8206;3259;7106;4181;298;753;2387;1942;9028;9283;4258;1635;45347;45693;82229;6497;8137;17522;28343;45861;126994;183923;1434;99;516;476;72;2244;4512;4058;8744;14115;3855184;3849564;3820390;114327;593459;820801;199720;227342;2878617;206900;472119;2651274;2179155;313693;1368351
2012;UF;26;Pernambuco;688;784;616;673;53;664;5;702;456;39;104;259;42;272;104;259;42;261;7203;1597;735;4926;9501;7922;5101;4041;5298;76;1472;1589;1855;9766;8396;2823;7122;49;3631;935;2573;2082;8717;8954;3994;109;5255;53209;106529;7182;7606;17861;28358;46571;162492;248981;1955;1276;574;595;834;2092;4533;3487;7902;14052;9071206;9059658;8947491;315458;1472136;2011329;530158;539192;6744065;475420;1111123;6204872;5093748;666624;3191695
2012;UF;27;Alagoas;651;749;587;627;487;645;475;641;413;406;144;296;352;269;144;296;352;264;6996;2614;626;5083;9329;8572;4691;3219;4866;68;1897;2054;2422;9749;8161;3077;6537;4475;2905;715;2404;1735;9178;9445;3953;1058;39506;40147;83673;6729;7203;16737;25514;39616;108308;155964;1303;905;503;447;883;2344;496;3338;815;141;3224172;3220687;3169272;121812;552396;762216;193400;209820;2339297;176603;403724;2129476;1725751;201674;1014573
2012;UF;28;Sergipe;684;775;607;679;523;654;492;682;453;386;12;254;432;28;12;254;432;269;7147;202;598;4625;9744;8204;4792;3438;5229;745;1556;1685;2025;9828;8332;3357;6706;4859;3528;939;2968;2301;9087;9472;3895;1611;5472;5546;101673;7229;7951;185;29342;48673;169811;253576;1917;1284;569;581;758;203;4421;3506;8043;14269;2151985;2148848;2120202;72140;331308;462453;117709;131145;1599991;128780;294097;1468846;1174748;128585;829713
2012;UF;29;Bahia;678;79;593;666;51;639;49;692;43;396;124;275;405;277;124;275;405;268;7239;2104;72;4835;9395;7964;4743;3469;5102;725;1528;1629;1927;9798;8277;3174;6999;47;3505;724;2899;2377;9286;9577;4022;971;50329;5088;91553;7134;743;17507;28386;46067;15231;230748;1851;1222;563;571;83;2256;4532;3984;8124;13812;14422526;14409938;14253850;458311;2298511;3084160;796339;785648;10761138;764470;1743536;9975490;8231954;1039038;5602545
2012;UF;31;Minas Gerais;75;852;683;726;555;757;594;778;551;49;87;193;325;208;87;193;325;202;7612;1327;819;4395;9226;9287;6756;5007;5554;811;777;829;977;9869;8536;288;8282;501;3602;11;1492;1147;9339;9523;5806;1661;73481;74045;121778;7511;14599;30856;48059;71894;202006;292854;1289;889;5;441;258;812;224;2927;8556;15645;20225150;20213389;20059348;556868;2815217;3897715;1000014;1082497;15705553;997123;2432921;14623055;12190133;1655800;9072178
2012;UF;32;Esp rito Santo;758;863;692;73;613;735;603;792;565;491;82;184;327;204;82;184;327;198;7678;1074;729;4285;9281;8216;6421;5476;6125;863;727;773;903;9822;8118;2657;8263;5702;4187;1094;1956;1627;8689;8931;4803;1475;7504;75732;125252;7618;15792;32075;48891;73768;204396;287748;1202;854;489;411;204;673;2106;2542;878;16236;3686124;3685249;3651580;105586;538844;719083;184967;180239;2849225;186844;441012;2668985;2227973;268859;1667177
2012;UF;33;Rio de Janeiro;762;832;703;756;691;709;607;758;607;485;89;137;358;204;89;137;358;195;749;1321;93;4236;9286;8321;5885;4875;6914;965;32;336;386;9799;8846;3186;854;6624;4905;1476;2383;199;9292;9425;5127;1656;88269;89401;142799;7293;1615;33737;52517;82383;256603;373537;1498;1029;528;482;261;673;1957;2314;8013;15924;16510152;16496144;16287354;413347;2116357;2910898;775102;794540;13132294;780447;1868008;12337753;10469744;1534655;7407310
2012;UF;35;S o Paulo;812;863;792;782;703;84;661;798;68;533;75;141;318;185;75;141;318;178;768;1125;87;4163;9467;9465;8006;6663;7027;977;349;369;422;9876;8494;2743;9196;6632;5179;1763;953;7;9348;9376;6704;196;103742;104991;170444;7793;20999;42534;63736;98057;293504;428963;135;924;511;446;183;386;122;1374;667;15954;43114156;43071215;42558577;1139988;5555922;7579443;1943073;2023521;34194119;2002473;4954369;32170598;27216229;3752222;20292624
2012;UF;41;Paran ;772;846;718;757;615;776;624;78;586;531;78;184;299;192;78;184;299;187;7576;1109;821;4346;8966;9116;7302;5654;6146;865;564;601;707;9778;7921;2782;8528;5668;406;1327;1204;944;8945;9151;5819;1907;88728;89381;145566;7761;1949;38866;58443;88832;238016;338847;1161;816;483;404;162;414;1481;1983;7624;16665;10808804;10800860;10721987;302130;1473237;2040071;520533;566834;8421662;546940;1314493;7854828;6540334;887079;5052018
2012;UF;42;Santa Catarina;792;878;74;764;626;805;664;815;637;565;72;139;261;161;72;139;261;157;777;1051;724;3997;9184;935;7847;5817;6264;895;343;365;424;9819;8305;2872;8802;5768;4086;1282;1056;77;9148;9319;6238;1953;9276;93355;146766;7774;23748;46617;66611;9755;228846;314765;895;65;435;326;115;3;1021;2041;769;16624;6519681;6516794;6475283;180987;868648;1199430;304236;330782;5129675;332223;783936;4798893;4014956;471869;3166374
2012;UF;43;Rio Grande do Sul;763;86;674;767;595;717;627;796;581;532;75;138;307;179;75;138;307;173;7662;108;96;4333;8457;8805;6858;4542;5947;897;396;418;474;983;8232;3063;8401;5521;4061;1223;1951;1595;9164;9479;5485;1961;94464;95003;147477;7224;19962;40629;6019;91536;260095;376046;1241;859;495;427;137;43;1401;2175;8307;16489;10995534;10990874;10928468;271325;1472574;2037768;551238;565194;8727222;514928;1207490;8162028;6954538;1055770;5040899
2012;UF;50;Mato Grosso do Sul;733;823;657;729;562;71;588;739;53;518;102;193;289;198;102;193;289;195;7435;1603;706;4713;9299;8994;5982;4109;5624;831;706;757;899;9803;797;2845;7757;5143;3675;1099;1653;1227;9146;9485;4773;1686;7473;75128;132628;8046;17895;33226;49455;73904;198972;285552;1117;778;475;389;141;473;1815;2492;8629;17072;2493059;2492409;2479207;82457;373693;504038;133202;130344;1870548;132840;319979;1740203;1420224;176093;1118622
2012;UF;51;Mato Grosso;742;803;694;732;607;742;583;713;55;505;112;208;31;214;112;208;31;21;7316;1872;606;4532;8863;8627;7417;4781;607;84;731;787;932;9702;8542;3079;8412;5576;3953;1104;1368;1101;8716;8836;5804;1743;75868;76505;138958;8203;17009;3326;4906;73389;206658;298266;1187;822;487;409;191;6;1868;2122;8343;1642;3136219;3135087;3109008;106565;481215;657785;167846;176570;2348278;162992;378267;2171708;1793441;190168;1388602
2012;UF;52;Goi s;744;807;698;73;619;741;595;722;565;516;105;19;293;20;105;19;293;196;7341;1683;591;439;8663;8828;6988;5176;6189;861;654;703;84;9798;845;2949;8584;5679;4036;1113;1324;934;9031;9137;567;1829;7493;75417;132096;8256;17929;33232;50259;74525;199156;28392;111;779;474;383;14;483;1891;2055;8938;17495;6315944;6311946;6271197;194849;985087;1338442;338643;353355;4762236;324604;773275;4408881;3635606;372998;2921644
2012;UF;53;Distrito Federal;825;865;768;846;765;77;641;798;671;493;78;126;417;223;78;126;417;207;7687;1153;562;404;9137;8726;6866;607;7649;1088;293;308;37;9795;8565;4034;8735;742;6185;26;1689;1349;9224;9554;5751;2819;154618;156274;256174;7855;1932;40177;69563;140914;503005;715781;2406;1691;601;664;145;433;147;1245;7899;16308;2722198;2715681;2686901;75256;389525;524544;145666;135019;2091831;144483;341300;1956811;1615511;152944;1282642
2013;UF;11;Rond nia;687;762;612;694;551;645;531;666;477;471;126;22;322;227;126;22;322;223;7071;2145;485;4436;8311;8023;5397;4055;5509;774;784;847;1021;9768;8101;3122;7721;4983;3358;817;1962;1347;8389;8603;416;1361;5998;60985;116674;8205;12051;26615;41866;63188;15661;218859;1132;81;475;39;397;1104;2854;253;7979;15164;1647705;1647435;1620310;57215;270613;371709;96094;101095;1221265;95172;215320;1120170;904849;79899;687561
2013;UF;12;Acre;706;797;658;67;575;704;511;705;472;401;115;283;402;276;115;283;402;267;7284;1932;432;5862;8607;8166;6743;465;5746;761;1429;1561;1906;968;8467;3467;7703;5211;37;1008;1868;1806;895;9222;5522;1632;51764;52636;113518;7684;7775;17588;29386;49986;152984;223687;1764;1206;553;543;795;2165;4422;3747;8238;13811;790155;789861;776772;35513;158007;209410;56240;51403;532306;44902;103337;480903;377565;34155;274704
2013;UF;13;Amazonas;702;769;659;683;631;674;53;674;53;417;124;195;389;245;124;195;389;236;7111;2018;456;5653;8953;8515;5717;3766;6313;884;729;796;952;9801;8788;327;7566;5975;4666;98;1988;1562;9388;9526;5119;1204;56111;56727;125319;8256;8774;19055;29762;46239;176904;276186;1985;1271;581;596;537;1993;4354;3726;8728;14783;3605007;3601162;3562031;151748;702278;931354;237564;229076;2467409;223239;474619;2238332;1763712;164267;1323383
2013;UF;14;Roraima;738;757;735;723;709;748;568;673;598;456;111;186;369;23;111;186;369;222;7044;1789;306;5186;9205;9214;6904;4608;7085;963;641;703;883;977;8824;3385;8589;665;525;16;1523;1107;9399;953;591;1643;71796;72141;149904;8486;12445;24071;38808;67089;216201;32102;1758;1184;555;546;294;1107;3332;4122;8893;16357;436505;436292;434200;19213;82020;111619;26740;29598;300784;28057;60929;271185;210256;13350;176192
2013;UF;15;Par ;671;774;592;66;534;624;509;684;462;418;116;22;367;241;116;22;367;234;7144;1839;526;5333;9126;7886;4706;3236;5343;764;102;1107;1344;9831;846;3173;7021;4903;3427;736;2877;2364;9257;959;4028;947;4848;48813;98452;7665;8842;18536;29144;45744;140245;208525;1523;1024;531;499;632;1949;4353;4349;8631;14499;8014493;8002451;7947903;309892;1488947;1987259;510463;498311;5648656;502485;1069695;5150344;4080648;421588;2998057
2013;UF;16;Amap ;734;801;714;691;688;727;563;692;572;451;136;199;348;233;136;199;348;228;7307;241;405;5054;8834;8247;6746;524;6878;918;548;604;745;9697;894;3468;8575;6408;493;1249;2385;2226;9202;9285;5874;1618;58889;59609;13161;8621;11666;2301;34912;59624;165446;232711;1342;954;513;448;291;1248;347;2724;9087;15888;737941;737553;728637;24976;141404;192662;51397;51257;520086;46045;101662;468828;367166;29884;283199
2013;UF;17;Tocantins;719;79;691;68;599;742;549;701;522;453;113;244;334;236;113;244;334;23;7242;1755;652;5272;8968;8879;6708;5127;5992;811;1163;1262;1535;9701;8492;2905;8147;5466;3979;1031;1476;1013;9133;9238;5797;1573;55002;55498;111321;8002;10799;22395;33928;52584;155072;230664;139;934;515;464;444;1317;3598;3644;8402;15416;1455039;1453438;1440433;56023;241805;332147;82055;90341;1047530;91222;187768;957189;769420;94796;568782
2013;UF;21;Maranh o;661;744;639;607;521;708;486;639;453;396;141;291;348;265;141;291;348;26;6965;2498;639;5685;9712;8706;5788;4115;5211;694;177;1925;2325;9845;8428;242;748;4627;3191;619;2082;1612;9352;9585;4895;75;35041;35662;75533;7017;5683;14781;2382;37651;92849;128943;126;907;494;436;127;2809;5355;3927;7576;13227;6803063;6798988;6680480;283552;1257279;1674091;420916;416811;4772433;394589;890797;4355621;3464824;435033;2193365
2013;UF;22;Piau ;679;756;623;666;496;699;496;662;442;416;124;29;376;271;124;29;376;263;7038;2124;786;4863;9723;8515;5626;4105;4963;687;1932;2088;2496;9879;851;3267;7404;4433;3016;942;2317;1864;9338;9713;5044;1594;50395;50476;89054;6677;8679;18947;30304;47904;14636;21702;1571;106;535;516;642;1916;4195;4788;8395;1428;3220646;3211974;3206848;114222;477408;675432;158146;198023;2420180;164165;396003;2222157;1826154;253263;1208147
2013;UF;23;Cear ;705;801;667;656;54;742;516;715;478;402;107;284;387;268;107;284;387;259;7303;1676;821;4885;9816;8632;6383;4846;5396;722;1624;1745;2113;983;8147;2656;7938;4787;3336;791;1676;1282;9039;934;5064;1314;47285;4774;89321;6989;7373;17389;29084;46632;137395;202487;1635;111;537;522;878;2278;4422;4197;8091;13491;8789334;8781485;8697917;278125;1351351;1863632;482665;512281;6626076;519311;1182145;6113795;4931649;721282;3227867
2013;UF;24;Rio Grande do Norte;71;831;642;67;519;714;539;746;483;435;102;248;351;24;102;248;351;234;7486;1716;723;454;9707;8787;565;4422;5193;746;1617;1732;2047;981;8426;3161;7207;4747;3482;839;2096;1673;9165;9621;4526;1503;516;51935;96404;708;9677;20937;33196;51694;142124;204804;1338;928;505;457;582;1557;3783;3891;8238;14718;3332952;3331025;3309571;105098;492988;676217;174829;183228;2533363;187681;425670;2350134;1924464;241123;1255750
2013;UF;25;Para ba;67;786;584;655;464;655;493;695;412;418;116;295;362;265;116;295;362;258;7215;1916;781;5026;9463;7573;5462;3709;4643;671;1902;2035;2404;9825;8034;2878;671;4172;2931;829;2308;1832;8363;8721;4154;1424;47112;47423;84251;6479;895;1843;29647;46933;131558;192246;1404;961;513;464;598;1929;4351;4409;8746;14552;3870182;3867782;3842348;135723;611403;824871;205448;213467;2877879;206227;494153;2664411;2170258;302296;1392317
2013;UF;26;Pernambuco;703;792;641;685;552;69;517;713;479;405;1;252;409;265;10;252;409;254;725;1494;816;4843;9464;8216;5457;4467;5523;776;1442;1546;1791;9744;8333;2821;7262;5161;3728;976;2115;1706;8924;9197;44;1242;56917;57774;115581;7238;8614;19512;31489;5103;173864;265661;1889;1236;566;57;696;1824;4104;3491;807;14365;9133857;9129160;8993857;281710;1389407;1906332;469222;516924;6899087;461429;1097408;6382162;5284753;745520;3237632
2013;UF;27;Alagoas;648;756;573;629;477;628;471;652;404;396;137;295;371;274;137;295;371;268;7037;2425;658;5191;911;8107;4477;3427;477;67;196;212;2531;9677;8015;304;6468;4362;2887;693;2616;1934;8963;922;3607;1106;40131;40567;86273;6827;7012;16427;25378;40606;111215;160744;1372;949;51;467;958;2336;5034;376;7934;13991;3240801;3238013;3203193;117626;564918;760717;201390;195798;2346512;188787;416408;2150713;1734304;213181;1020329
2013;UF;28;Sergipe;683;779;598;685;536;631;5;689;443;409;115;259;403;268;115;259;403;259;7176;1909;628;4824;9601;7665;4306;3661;5357;741;1498;1612;1941;9745;8545;3546;6981;4949;3482;971;3099;2496;8922;9221;3487;1667;56726;57298;106975;7218;9144;19015;30141;49421;17602;268309;1906;125;572;579;536;1875;4218;3662;876;14593;2173287;2170562;2148871;75464;359077;490751;131926;131674;1602672;130866;295254;1470998;1175743;136585;825918
2013;UF;29;Bahia;68;794;594;667;52;635;498;699;432;41;12;273;385;267;12;273;385;259;7266;2002;752;4844;9372;8007;4683;3347;52;734;1489;1581;1876;9798;8746;3245;7156;479;3627;694;2819;2264;9264;9421;412;927;50814;51316;93781;728;8285;19078;30558;49231;146837;217902;1593;1073;535;514;7;1979;418;3844;8208;14158;14485978;14477354;14335786;468534;2307396;3074231;848550;766835;10847528;791402;1748481;10080692;8332211;1088678;5671960
2013;UF;31;Minas Gerais;758;857;692;733;563;768;606;785;567;499;84;18;319;20;84;18;319;194;764;1263;846;4279;9423;9329;6748;5204;5628;823;718;765;899;9891;8327;2778;8394;5079;371;1095;1352;977;9275;9633;5742;1724;76594;7706;125169;7503;15848;33106;51076;74417;208787;301812;1233;853;491;423;193;687;2065;3019;885;16139;20361190;20339370;20216240;544442;2730776;3835368;960871;1104592;15981440;1054720;2463757;14876847;12413090;1722014;9255448
2013;UF;32;Esp rito Santo;765;87;701;734;609;752;609;8;578;488;8;175;335;204;8;175;335;197;7717;1018;672;4064;9365;8489;671;5512;6089;872;627;672;787;9813;8244;2587;8204;5672;4197;1138;1894;1516;8776;9065;5335;1619;77278;78096;133992;7851;15804;31956;49501;75768;213172;306034;1282;893;499;427;23;668;2114;2464;81;16314;3733092;3731799;3692733;106849;509873;708482;181193;198609;2905299;190355;445652;2706689;2261037;250974;1677480
